,name,Worldwide_Box_Office,number_of_movies,average_box,link
2679,Nelly Films Limited,"$5,676,110",1,"$8,558,693",https://www.the-numbers.com/movies/production-company/Nelly-Films-Limited
2680,Panamax Films,"$5,672,917",2,"$8,084,948",https://www.the-numbers.com/movies/production-company/Panamax-Films
2681,New Land Films,"$5,669,081",1,"$10,026,255",https://www.the-numbers.com/movies/production-company/New-Land-Films
2682,Fuse+Media and Culture,"$5,666,340",1,"$8,514,325",https://www.the-numbers.com/movies/production-company/Fuse-Plus-Media-and-Culture
2683,Unplugged Studios,"$5,666,340",1,"$8,514,325",https://www.the-numbers.com/movies/production-company/Unplugged-Studios
2684,Boram Entertainment,"$5,666,340",1,"$8,514,325",https://www.the-numbers.com/movies/production-company/Boram-Entertainment
2685,Mike's Movies/OzWorks,"$5,666,340",1,"$8,514,325",https://www.the-numbers.com/movies/production-company/Mikes-Movies-OzWorks
2686,Wellmade Star M,"$5,666,340",1,"$8,514,325",https://www.the-numbers.com/movies/production-company/Wellmade-Star-M
2687,Modern People,"$5,664,763",1,"$9,353,729",https://www.the-numbers.com/movies/production-company/Modern-People
2688,USA Films ,"$5,658,940",1,"$5,658,940",https://www.the-numbers.com/movies/production-company/USA-Films
2689,Sixteen Films,"$5,644,853",13,"$74,629,069",https://www.the-numbers.com/movies/production-company/Sixteen-Films
2690,Republic Entertainment International,"$5,622,787",1,"$5,622,787",https://www.the-numbers.com/movies/production-company/Republic-Entertainment-International
2691,Lifetime Films,"$5,608,745",5,"$15,478,255",https://www.the-numbers.com/movies/production-company/Lifetime-Films
2692,Yale Productions,"$5,586,707",19,"$5,792,859",https://www.the-numbers.com/movies/production-company/Yale-Productions
2693,El Gobierno del Estado de Sonora,"$5,571,497",1,"$5,571,497",https://www.the-numbers.com/movies/production-company/El-Gobierno-del-Estado-de-Sonora
2694,Dream Management and Entertainment,"$5,571,497",1,"$5,571,497",https://www.the-numbers.com/movies/production-company/Dream-Management-and-Entertainment
2695,Ontario Creates,"$5,542,535",22,"$9,469,671",https://www.the-numbers.com/movies/production-company/Ontario-Creates
2696,Paramount Classics,"$5,537,634",3,"$11,428,134",https://www.the-numbers.com/movies/production-company/Paramount-Classics
2697,HBO Documentary Films,"$5,537,422",28,"$32,795,036",https://www.the-numbers.com/movies/production-company/HBO-Documentary-Films
2698,Cofinova 6,"$5,534,131",4,"$101,709,417",https://www.the-numbers.com/movies/production-company/Cofinova-6
2699,Neue Road,"$5,528,843",3,"$33,554,625",https://www.the-numbers.com/movies/production-company/Neue-Road
2700,Creative Differences,"$5,528,800",3,"$9,920,274",https://www.the-numbers.com/movies/production-company/Creative-Differences
2701,Xingu Films,"$5,526,302",2,"$12,803,467",https://www.the-numbers.com/movies/production-company/Xingu-Films
